dataset_name,dataset_index,cartesian_product,model_name,model_loss,model_accuracy
census,0,2.96e+09,sequential_4,0.3351512551307678,0.8470672369003296
credit,1,1.01e+11,sequential_31,0.5251548290252686,0.7825000286102295
bank,2,5.84e+07,sequential_22,0.2631966471672058,0.8918500542640686
meps,3,2.38e+44,sequential,0.3887389302253723,0.8455464243888855
heart,4,1.00e+11,sequential,0.5397451519966125,0.7478991746902466
diabetes,5,2.98e+07,sequential,1.6212778091430664,0.6190476417541504
students,6,5.26e+18,sequential,0.2542688548564911,0.8660287261009216
